2025-08-11 18:58:43.519 [main] INFO  UtilipayV2Hybrid.testBase.Base - *** Verifying toaster message ***
2025-08-11 18:58:50.056 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: prepaid sales ===
2025-08-11 18:58:57.179 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [prepaid sales]: Your report is being prepared. you will receive an email ones it is ready!
2025-08-11 18:58:57.181 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: day end ===
2025-08-11 18:59:03.807 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [day end]: Your report is being prepared. you will receive an email ones it is ready!
2025-08-11 18:59:03.829 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: month end ===
2025-08-11 18:59:06.809 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [month end]: Your report is being prepared. you will receive an email ones it is ready!
2025-08-11 18:59:06.810 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: low purchase ===
2025-08-11 18:59:10.886 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [low purchase]: Your report is being prepared. you will receive an email ones it is ready!
2025-08-11 18:59:10.886 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: free basic ===
2025-08-11 18:59:14.200 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [free basic]: Your report is being prepared. you will receive an email ones it is ready!
2025-08-11 18:59:14.201 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: arrears recovered ===
2025-08-11 18:59:18.616 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [arrears recovered]: Your report is being prepared. you will receive an email ones it is ready!
2025-08-11 18:59:18.616 [main] INFO  UtilipayV2Hybrid.testBase.Base - *** Reporting Test Completed ***
2025-08-11 18:59:19.781 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: encrypt credit token
2025-08-11 18:59:34.329 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: verify encrypted token
2025-08-11 18:59:48.749 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: manufacturing token
2025-08-11 19:00:03.209 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: manufacturing key change token
2025-08-11 19:00:17.492 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: manufacturing mngt function token
2025-08-11 19:00:32.068 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: key change token
2025-08-11 19:00:46.104 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: management function token
2025-08-11 19:10:37.704 [main] INFO  UtilipayV2Hybrid.testBase.Base - *** Verifying toaster message ***
2025-08-11 19:10:43.944 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: prepaid sales ===
2025-08-11 19:10:52.966 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [prepaid sales]: Your report is being prepared. you will receive an email ones it is ready!
2025-08-11 19:10:52.968 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: day end ===
2025-08-11 19:10:59.259 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [day end]: Your report is being prepared. you will receive an email ones it is ready!
2025-08-11 19:10:59.259 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: month end ===
2025-08-11 19:11:02.346 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [month end]: Your report is being prepared. you will receive an email ones it is ready!
2025-08-11 19:11:02.346 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: low purchase ===
2025-08-11 19:11:06.925 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [low purchase]: Your report is being prepared. you will receive an email ones it is ready!
2025-08-11 19:11:06.926 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: free basic ===
2025-08-11 19:11:10.020 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [free basic]: Your report is being prepared. you will receive an email ones it is ready!
2025-08-11 19:11:10.021 [main] INFO  UtilipayV2Hybrid.testBase.Base - === Generating report: arrears recovered ===
2025-08-11 19:11:17.179 [main] INFO  UtilipayV2Hybrid.testBase.Base - Status message for [arrears recovered]: Your report is being prepared. you will receive an email ones it is ready!
2025-08-11 19:11:17.179 [main] INFO  UtilipayV2Hybrid.testBase.Base - *** Reporting Test Completed ***
2025-08-11 19:11:18.241 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: encrypt credit token
2025-08-11 19:11:32.603 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: verify encrypted token
2025-08-11 19:11:46.402 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: manufacturing token
2025-08-11 19:12:00.834 [main] INFO  UtilipayV2Hybrid.testBase.Base - Processing: manufacturing key change token
